metaphone,word,translation
A,a,to
ADKD,adecuado,suitable
ADLNT,adelante,forward
ADLNTR,adelantar,advance
ADLSZN,adolescente,teenager
ADMN,ademán,gesture
ADMNST,administrar,manage
ADMS,además,besides
ADND,adónde,where
ADNTR,adentro,inside
ADRNR,adornar,decorate
ADVNR,adivinar,guess
ADVRTN,advertencia,warning
ADVRTR,advertir,warn
AFLJR,aflojar,loosen
AFLR,afilar,sharpen
AFN,afán,eagerness
AFR,afuera,outside
AFRNTR,afrontar,face
AFZN,afición,hobby
AFZND,aficionado,fan
AG,agua,water
AGD,agudo,sharp
AGJ,aguja,needle
AGJR,agujero,hole
AGNTR,aguantar,endure
AGRDR,agradar,please
AGRDR,aguardar,wait
AGRDVL,agradable,pleasant
AGRDZD,agradecido,grateful
AGRDZR,agradecer,thank
AGRKLT,agricultor,farmer
AGRRR,agarrar,grab
AGTR,agotar,exhaust
AI,ahí,there
AJ,auge,boom
AJDRZ,ajedrez,chess
AJN,ajeno,foreign
AK,acá,here
AK,aquí,here
AKDR,acudir,attend
AKJR,acoger,welcome
AKL,aquel,that
AKNSJR,aconsejar,advise
AKNTZM,acontecimiento,event
AKNTZR,acontecer,happen
AKRD,acuerdo,agreement
AKRDR,acordar,agree
AKS,acaso,perhaps
AKSTR,acostar,lay
AKT,acta,record
AKTL,actual,current
AKTLDD,actualidad,present
AKTLMN,actualmente,currently
AKTLZR,actualizar,update
AKTZN,actuación,performance
AKY,aquella,that
AKY,aquello,that
AL,ala,wing
AL,aula,classroom
ALD,aldea,village
ALFMVR,alfombra,carpet
ALG,algo,something
ALGDN,algodón,cotton
ALGN,alguien,someone
ALGN,alguno,some
ALGR,alegre,cheerful
ALGR,alegría,joy
ALGRR,alegrar,gladden
ALJR,alejar,distance
ALJR,alojar,lodge
ALKLD,alcalde,mayor
ALKLR,alquilar,rent
ALKLR,alquiler,rent
ALKNZ,alcance,reach
ALKNZR,alcanzar,reach
ALM,alma,soul
ALMAD,almohada,pillow
ALMN,alumno,student
ALMNT,alimento,food
ALMNTR,alimentar,feed
ALMNTZ,alimentación,feeding
ALMRZ,almuerzo,lunch
ALMRZR,almorzar,lunch
ALMVR,alambre,wire
ALMZN,almacén,warehouse
ALMZNR,almacenar,store
ALNT,aliento,breath
ALNTR,alentar,encourage
ALRDDR,alrededor,around
ALTR,altura,height
ALV,alba,dawn
ALV,alivio,relief
ALVR,aliviar,relieve
ALVRGR,albergar,host
AM,ama,housekeeper
AM,amo,master
AMG,amiga,friend
AMG,amigo,friend
AMNT,aumento,increase
AMNTNR,amontonar,pile
AMNZ,amenaza,threat
AMNZR,amanecer,dawn
AMPL,amplio,wide
AMPLR,ampliar,widen
AMPLZN,ampliación,expansion
AMPR,amparo,shelter
AMR,amar,love
AMRG,amargo,bitter
AMRGR,amargura,bitterness
AMRRR,amarrar,tie
AMRY,amarillo,yellow
AMSTD,amistad,friendship
AMVL,amable,kind
AMVNT,ambiente,environment
AMVR,hambre,hunger
